radius(kpc) 	 r_err 	 kT(keV) 	 kT_err_min 	 kT_err_min 	 ne 	 ne_err_min 	 ne_err_min 	 K 	 K_err_min 	 K_err_max
0.483220909524 	0.241610454762 	0.747588222915    	0.0357141073593   	0.0349039312501   	3.99935995686e-05 	4.42801241375e-06 	4.44019168101e-06 	2.48497104797     	0.148046564535    	0.150011976822    
0.724831364286 	0.120805227381 	0.747588222915    	0.0357141073593   	0.0349039312501   	3.37224416157e-05 	5.66330110763e-06 	5.6673058249e-06  	3.43648734625     	0.250604036445    	0.252901071698    
0.966441819048 	0.120805227381 	0.77593027051     	0.053446887887    	0.0514515557796   	2.48305813036e-05 	5.49905688418e-06 	5.50691118178e-06 	5.28900962479     	0.525240813477    	0.534010379593    
1.44966272857  	0.241610454762 	0.77593027051     	0.053446887887    	0.0514515557796   	3.12846036486e-05 	5.64634075747e-06 	5.6793839075e-06  	7.22932256879     	0.648981601073    	0.661154903411    
1.9328836381   	0.241610454762 	0.839432379879    	0.0470686320234   	0.0558705016849   	2.38566271297e-05 	5.56795064903e-06 	5.57058806438e-06 	9.81524224649     	1.00519142885     	0.941265960292    
2.65771500238  	0.362415682143 	0.839432379879    	0.0470686320234   	0.0558705016849   	3.33948919531e-05 	5.37359756374e-06 	5.3826086501e-06  	16.0842055835     	1.3757848735      	1.24805411375     
3.86576727619  	0.604026136905 	0.887214690097    	0.0529284660955   	0.0731060028589   	2.56209658912e-05 	4.60637791206e-06 	4.70912548158e-06 	30.8183971558     	3.16444482149     	2.60602756603     
6.28187182381  	1.20805227381  	0.887214690097    	0.0529284660955   	0.0731060028589   	2.0964667469e-05  	4.67507197973e-06 	5.40515973294e-06 	36.6005528807     	4.35769314998     	3.4884518709      
9.42280773572  	1.57046795595  	2.09837302691     	0.468917487235    	1.70807074513     	3.87568925836e-05 	1.30377308273e-05 	1.35308289602e-05 	116.596006377     	95.8738976046     	29.1516347304     
12.5637436476   	1.57046795595  	2.09837302691     	0.468917487235    	1.70807074513     	3.08866564131e-05 	1.5296762428e-05  	1.57236387809e-05 	152.226057837     	126.575533477     	42.2932656018     
15.4630691048   	1.44966272857  	1.28815669937     	0.191578908565    	0.343806653595    	2.0750476716e-05  	1.19310658145e-05 	9.71132277762e-06 	91.3087900886     	28.2277292581     	22.1509756576     
17.8791736524   	1.20805227381  	1.28815669937     	0.191578908565    	0.343806653595    	2.61872149771e-05 	1.35884349886e-05 	2.32973255444e-05 	91.6224006205     	36.5544153695     	20.9002721728     
